0,4
0,7
0,12
0,17
0,20
0,25
1,4
1,7
1,12
1,25
1,27
1,28
1,29
2,4
2,7
2,12
2,17
2,20
2,25
3,4
3,7
3,12
3,17
3,20
3,25
3,26
3,27
3,28
4,12
4,17
4,20
4,25
5,4
5,7
5,12
5,17
5,20
5,25
5,27
5,28
5,29
6,0
6,1
6,2
6,3
6,4
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,20
6,21
6,22
6,23
6,24
6,25
7,4
7,7
7,12
7,17
7,20
7,25
7,26
7,27
7,28
8,12
8,17
8,20
8,25
9,4
9,7
9,12
9,17
9,20
9,25
9,27
9,28
9,29
10,4
10,7
10,12
10,17
10,20
10,25
11,4
11,7
11,12
11,25
11,26
11,27
11,28
12,4
12,7
12,12
12,17
12,20
12,25
13,0
13,1
13,2
13,3
13,4
13,7
13,8
13,9
13,10
13,11
13,12
13,13
13,14
13,15
13,16
13,17
13,20
13,21
13,22
13,23
13,24
13,25
16,8
16,9
16,10
16,15
16,16
16,17
17,7
17,8
17,17
17,18
18,1
18,7
18,9
18,16
18,18
19,1
19,7
19,10
19,15
19,18
19,20
19,21
19,22
19,23
19,26
19,27
19,28
20,1
20,2
20,3
20,4
20,5
20,6
20,7
20,11
20,14
20,20
20,23
20,26
20,29
21,12
21,13
21,20
21,23
21,24
21,25
21,26
21,29
22,20
22,29
23,20
23,29
24,12
24,13
24,20
24,23
24,24
24,25
24,26
24,29
25,11
25,14
25,20
25,23
25,26
25,29
26,1
26,2
26,3
26,4
26,5
26,6
26,7
26,10
26,15
26,18
26,21
26,22
26,23
26,26
26,27
26,28
26,29
27,1
27,7
27,9
27,16
27,18
28,1
28,7
28,8
28,17
28,18
29,8
29,9
29,10
29,15
29,16
29,17
